timestamp,gesture_id,gesture_name,sample_id,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7
0.012413978576660156,1,swing_down,16,0.02893059,-0.981625905,0.216491145,-20.936719999999998,-19.02922,-12.71158,-6787.98,-48054.015,-37317.645,-20219.67,-22656.465,-64668.42,-58980.465,-6879.78
0.024252891540527344,1,swing_down,16,0.045715215000000003,-0.9845555850000001,0.209289015,-29.558619999999998,-17.59478,-15.67202,-6773.715,-48047.04,-37315.89,-20219.94,-22650.57,-64670.67,-58987.125,-6881.445
0.037453651428222656,1,swing_down,16,0.045715215000000003,-0.9845555850000001,0.209289015,-29.558619999999998,-17.59478,-15.67202,-6765.84,-48047.759999999995,-37337.534999999996,-20221.965,-22643.055,-64657.665,-58986.45,-6878.969999999999
0.05077195167541504,1,swing_down,16,0.0512694,-0.992368065,0.20825142,-35.03696,-16.67918,-21.50134,-6729.57,-48040.424999999996,-37306.17,-20206.17,-22638.78,-64647.0,-58990.14,-6871.59
0.061719655990600586,1,swing_down,16,0.049499385,-1.00646715,0.20935005,-38.6841,-17.8542,-26.033559999999998,-6722.73,-48029.445,-37296.585,-20196.405,-22632.795,-64636.02,-58987.935,-6874.38
0.07352590560913086,1,swing_down,16,0.049499385,-1.00646715,0.20935005,-38.6841,-17.8542,-26.033559999999998,-6706.349999999999,-48008.924999999996,-37273.32,-20177.505,-22627.53,-64632.465,-58993.244999999995,-6865.695
0.08538079261779785,1,swing_down,16,0.050659050000000004,-1.02270246,0.20837349,-29.49758,-15.67202,-29.42128,-6706.8,-48012.479999999996,-37276.244999999995,-20176.29,-22619.79,-64619.009999999995,-58996.53,-6868.62
0.09750676155090332,1,swing_down,16,0.050659050000000004,-1.02270246,0.20837349,-29.49758,-15.67202,-29.42128,-6710.04,-48003.119999999995,-37268.505,-20171.25,-22624.425,-64619.954999999994,-58997.024999999994,-6858.675
0.11037683486938477,1,swing_down,16,0.05163561,-1.02807354,0.20593209,-15.59572,-12.71158,-31.786579999999997,-6703.245,-47992.905,-37261.034999999996,-20162.25,-22619.204999999998,-64610.28,-59001.884999999995,-6855.795
0.12374663352966309,1,swing_down,16,0.050659050000000004,-1.023495915,0.20117136,-9.88848,-12.04014,-34.91488,-6696.315,-47992.905,-37259.369999999995,-20159.325,-22613.085,-64600.74,-59005.439999999995,-6858.764999999999
0.1366128921508789,1,swing_down,16,0.050659050000000004,-1.023495915,0.20117136,-9.88848,-12.04014,-34.91488,-6684.4349999999995,-47970.314999999995,-37237.77,-20142.63,-22597.2,-64590.884999999995,-59011.47,-6851.205
0.14965081214904785,1,swing_down,16,0.048644895,-1.009824075,0.196837875,-11.46026,-14.14602,-37.63116,-6684.615,-47963.115,-37231.965,-20133.765,-22589.954999999998,-64580.715,-59014.979999999996,-6841.44
0.16250276565551758,1,swing_down,16,0.048766965,-0.99267324,0.19274853,-11.5976,-15.839879999999999,-37.615899999999996,-6692.219999999999,-47949.299999999996,-37218.96,-20123.684999999998,-22584.825,-64576.619999999995,-59022.225,-6839.73
0.1742410659790039,1,swing_down,16,0.048766965,-0.99267324,0.19274853,-11.5976,-15.839879999999999,-37.615899999999996,-6685.11,-47937.33,-37210.005,-20114.1,-22573.665,-64565.64,-59025.42,-6834.42
0.18529367446899414,1,swing_down,16,0.054138045,-0.97643793,0.18566847,-12.55898,-15.931439999999998,-37.50908,-6682.815,-47931.75,-37202.354999999996,-20104.469999999998,-22555.53,-64548.134999999995,-59029.424999999996,-6835.905
0.19878292083740234,1,swing_down,16,0.05920395,-0.95861571,0.17944290000000002,-16.587619999999998,-15.67202,-35.00644,-6678.63,-47906.64,-37182.33,-20090.52,-22547.745,-64543.86,-59037.84,-6825.6449999999995
0.2106008529663086,1,swing_down,16,0.05920395,-0.95861571,0.17944290000000002,-16.587619999999998,-15.67202,-35.00644,-6685.605,-47904.075,-37182.24,-20084.67,-22540.364999999998,-64536.84,-59042.52,-6819.03
0.22376179695129395,1,swing_down,16,0.06176742,-0.942929715,0.17761185000000002,-21.013019999999997,-15.580459999999999,-30.5963,-6683.355,-47895.93,-37176.705,-20081.295,-22538.34,-64538.009999999995,-59059.799999999996,-6825.78
0.2370738983154297,1,swing_down,16,0.06176742,-0.942929715,0.17761185000000002,-21.013019999999997,-15.580459999999999,-30.5963,-6679.44,-47885.939999999995,-37169.1,-20072.114999999998,-22522.545,-64522.979999999996,-59066.189999999995,-6822.675
0.25243282318115234,1,swing_down,16,0.06030258,-0.931821345,0.17736771,-21.18088,-15.27526,-27.25436,-6678.315,-47868.525,-37147.905,-20051.55,-22505.67,-64507.32,-59073.795,-6813.764999999999
